				node_types		node_column
				biolink:Protein		ENSP00000380432
				biolink:Gene		ENSG00000008256
				biolink:Protein		ENSP00000297044
				biolink:Gene		ENSG00000158987
				biolink:Protein		ENSP00000296859
				biolink:Gene		ENSG00000167306
				biolink:Protein		ENSP00000285039
				biolink:Gene		ENSG00000123728
				biolink:Protein		ENSP00000340274
				biolink:Gene		ENSG00000152689
				biolink:Protein		ENSP00000384192
				biolink:Gene		ENSG00000172466
				biolink:Protein		ENSP00000261332
				biolink:Gene		ENSG00000116641
				biolink:Protein		ENSP00000251157
				biolink:Gene		ENSG00000205726
				biolink:Protein		ENSP00000370719
				biolink:Gene		ENSG00000164050
				biolink:Protein		ENSP00000351338
				biolink:Gene		ENSG00000154330
				biolink:Protein		ENSP00000379678
				biolink:Gene		ENSG00000143862
				biolink:Protein		ENSP00000272217
				biolink:Protein		ENSP00000387784
				biolink:Gene		ENSG00000077549
				biolink:Protein		ENSP00000401010
				biolink:Gene		ENSG00000144283
				biolink:Protein		ENSP00000374409
				biolink:Gene		ENSG00000135069
				biolink:Protein		ENSP00000365773
				biolink:Gene		ENSG00000196834
				biolink:Protein		ENSP00000392718
				biolink:Gene		ENSG00000156711
				biolink:Protein		ENSP00000211287
				biolink:Gene		ENSG00000102755
				biolink:Protein		ENSP00000282397
				biolink:Gene		ENSG00000149633
				biolink:Protein		ENSP00000279024
				biolink:Gene		ENSG00000108352
				biolink:Protein		ENSP00000264644
				biolink:Gene		ENSG00000122705
				biolink:Protein		ENSP00000242285
				biolink:Gene		ENSG00000164506
				biolink:Protein		ENSP00000321826
				biolink:Gene		ENSG00000090565
				biolink:Protein		ENSP00000262305
				biolink:Protein		ENSP00000466248
				biolink:Gene		ENSG00000173848
				biolink:Protein		ENSP00000347134
				biolink:Protein		ENSP00000356243
				biolink:Protein		ENSP00000485140
				biolink:Gene		ENSG00000145715
				biolink:Protein		ENSP00000274376
				biolink:Gene		ENSG00000049245
				biolink:Protein		ENSP00000054666
				biolink:Gene		ENSG00000205502
				biolink:Protein		ENSP00000369755
